corpus	piece	phrase_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499
ABC	n02op18-2_01	86	V	Ger6	iv6	i64	iv	V43/iv	iv6	#viio64/iv	iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n02op18-2_04	128	V	V(64)	V	V(64)	V	V(64)	V7	V(64)	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n02op18-2_04	133	I	V7	ii	IV	vi7	I	V6	I	V6	I																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n03op18-3_01	153	V	It6	i	@none	i6	V2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n03op18-3_01	154	V	It6	i	@none	i6	V2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n03op18-3_03	191	V	Ger6	iv6(2)	v6	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n03op18-3_03	192	V	Ger6	iv6(2)	v6	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n03op18-3_03	194	i	#viio6	#viio6(2)	iv6	vi																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n03op18-3_03	196	V	Ger6	iv6(2)	v6	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n03op18-3_03	197	V	Ger6	iv6(2)	V	Ger6	iv6(2)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n03op18-3_04	218	i	V7	V(64)	Ger6	VI																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n04op18-4_01	230	i	V7	V(64)	Ger6	V65/V	ii%65	ii%43	ii%65	ii%65(2)	i	V65	i6	#viio43	V7	i	V65	i6	V7	#viio7	VI7	ii6	ii6(2)	i	#viio7	#viio64	i64	iio6	iv6	#iiio2	#iiio64	#iiio64(4)	iv6	i6	#viio2	#viio64	#viio64(4)	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n04op18-4_01	231	V	i	V	V(9)	i	V	V(9)	V(64)	V	V(9)	V(64)	V	It6	VI	viio6/VI	VII(4)	i	i(4)	#viio6	i6	V	i	V	i	V	i	V	i	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
ABC	n04op18-4_01	237	i	V7	V(64)	V(964)	ii%65	ii%43	ii%65	i	#viio6	i6	#viio43	V7	i	V65	i6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
ABC	n04op18-4_01	240	V	i	i(4)	V65	i	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n04op18-4_01	242	i	V7	V(64)	Ger6	V65/V	ii%65	ii%43	ii%65	ii%65(2)	i	V65	i6	#viio43	V7	i	V65	i6	V7	viio7/V	Ger6	ii6	ii6(2)	i	#viio7	#viio64	i64	iio6	iv6	#iiio2	#iiio64	iv6	i6	#viio64	i	V7	V(64)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
ABC	n04op18-4_01	243	V	It6	iv6	#viio65/iv	iii	VII	iii	VII	bII	VI	bII	VI	bII	VI	i	V	i	V	i	V	i	V	i	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_01	246	i	V7	ii%65	VI	V	V6/V	iv	iv(4)	V65/iv	i6	#viio6	bII	V65/bII	vi6	VII7	VII	VII(4)	VII(b64)	viio7/VII	bII64	V7/bII	VI	V	ii	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_01	247	i	V7	V(6)	iio6	iv	V65/iv	iv6	V2/iv	i	V65	i6	V2	i	V65	i6	V2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABC	n04op18-4_01	248	i	i	i	#viio	i6	#viio64	i6	#viio64	i6	#viio64	i6	V7	V(64)	iio6	iv	V65/iv	iv6	V2/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
ABC	n04op18-4_03	266	i	V7	V(64)	V(964)	ii%65	iv6	#viio6/iv	iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_03	267	i	V7	i	V7	i	V7	i	#viio43	V	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n04op18-4_04	274	V	It6	ii%43	iv6(9)	III	VII7	iv	V7/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_04	275	i	V	V(64)	It6	iv	V64/iv	iv65	V2/iv	i6	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n04op18-4_04	279	V	i	V	i	V65	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
ABC	n04op18-4_04	281	V	It6	ii%43	iv6	III	VII7	iv	V7/iv	V6/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_04	282	i	V	V(64)	It6	iv	V64/iv	iv65	V2/iv	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n04op18-4_04	283	V	Ger6	VI	III	V7/III	iv	V7/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
ABC	n04op18-4_04	284	i	V7	V(64)	ii%65	iv	V64/iv	iv65	V2/iv	i	#viio6	i6	V2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ABC	n04op18-4_04	287	i	V	V(64)	Ger6	iv	#viio6/iv	VI	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_04	288	V	Fr6	ii%43	iv6	iv6(2)	III	VII7	iv	V7/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_04	289	i	V	V(64)	It6	iv	i64	VI	i2	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_04	294	#viio7	V	#viio2	V	V	viio43/V	viio6	i6	VI6	#viio7	V6	viio43/V	#viio6	i6	VI6	#viio7	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
ABC	n04op18-4_04	296	V	It6	ii%43	iv6(2)	III	V7/III	iv	V7/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_04	297	i	V	V(64)	It6	iv	V64/iv	iv65	V2/iv	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_04	298	i	V	V(64)	iv	iv6	V2/iv	i	V	i	V	i	V	i	V7	i	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABC	n04op18-4_04	299	i	V	V(64)	Ger6	iv7	iv	i64	iv6	V2/iv																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n04op18-4_04	300	i	V7	V(64)	ii%7	ii%65	i	i6	V7	V43	i64																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n04op18-4_04	301	V7	V(64)	ii%65	i6	V7	V43	V7	V43																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n04op18-4_04	302	I	I	I	I	iv	I	iv	I	iv	I	iv	I																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ABC	n05op18-5_01	305	V	viio7/V	i(94)	#viio	i	#viio6	i6	V	VI	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n05op18-5_01	307	V	viio7/V	i(94)	#viio	i	#viio6	i6	V	VI	i	i6	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ABC	n05op18-5_01	322	V	viio7/V	i(94)	V65	i	V64	i6	V	VI	i	i6	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
ABC	n05op18-5_01	324	V	viio7/V	i(94)	viio	i	viio6	i6	V2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n05op18-5_04	370	i6	V2	i64	iv6(+2)	v6	VI6	VII6	i6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n05op18-5_04	371	V	V7/V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
ABC	n06op18-6_02	402	i	V7	V(64)	iv	VI	V	i	V65	i6	V	V65/V	i6	i	V65	iv6	#viio6/iv	iv	V65/iv	V/iv	iv	V6/iv	VI	iv64																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
ABC	n06op18-6_02	410	V	i	V																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ABC	n06op18-6_04	420	V	ii6	ii	ii6	vi	V6/vi	ii	#viio/ii	#viio6/vi	IV	V65/IV	I	V7	V43/V	V6	V7	V65	I64	I																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ABC	n06op18-6_04	421	I	V7	ii	ii6	vi	#viio7/vi	ii(119)	#viio/ii	vii%7	IV	V65/IV	I	V7	V43/V	V6	V7	V65	I64	I																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ABC	n07op59-1_02	454	i	i	V7	bII	i	V7	bII	i	V	i	V7	i	V7	i	V	i	V	i	V	i	V	iv	i6	V(6)	III	V43/III	III6	V2/III	V7/III	viio6/VII	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
ABC	n07op59-1_02	457	i	V7	ii%65	VI	i	i6	i	i6	i	V	iv	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
ABC	n07op59-1_02	459	i	V7	ii%65	VI	i6	i	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
ABC	n07op59-1_02	460	i	V7	iio7	VI	i	i6	iv	i	i6	#viio6	v6	V2/V	v65	i6	i64	V2	v6	V65/V	III	V65/III	i	V65	i6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
ABC	n07op59-1_02	461	i	V7	ii%65	VI	i	i6	i	V7	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n07op59-1_02	466	i	V	ii%7	ii%65	VI	i	i	V7	i6	i	V7	i6	V43	v	V43/v	III	V65/III	i	V43	i	V7	i6	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n07op59-1_03	470	i	i(94)	V	V(64)	V	V(4)	i	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
ABC	n07op59-1_03	471	i	V7	V	iv	VI	i	V43	III	III6	V2/III	V43/III	III	III6	V2/III	V43/III	V	V(#764)	viio2/V	i	V7	V6	i	V43	ii%7	i6	i																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
ABC	n07op59-1_03	472	i	V	ii%43	i	V43	III6	V2/III	III6	V2/III	viio7/V	i	V65	i	V43	ii%7	i6	i	i	i(9)	i(#74)	V	V(64)	V7	V7(64)	V7(4)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n07op59-1_03	474	i	V7	V43	i	V7	V43	i6	i	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ABC	n07op59-1_03	475	i	V7	V(64)	i	V7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n07op59-1_03	478	i	V	V(64)	V7	V(64)	viio65/V	viio7/V	V(64)	viio6/V	i	V65	i6	#viio6	iv	V7/iv	V(64)/iv	Ger6/iv	i6	V2	i6	V2	i6	i	#viio7	V7/VII	V7/iv	V7	V7	V7(4)	V7/V	i	i6	bII6	bII	III6	iv6	v6	i	i6	V7	i	V65	i	V	V7	V/V	V	V7/V	V	V/V	V43/V	III64	VI6	V43/VI	iv6	VI	V	ii%65	i6	V7	V43	III	III6	V43/III	III	III6	V2/III	V43/III	V	V(#7b64)	i	V65	i	#viio6	#viio6(9)	i6	i																																																																																																																																																																																																																																																																																																																																																																																																																																							
ABC	n07op59-1_03	479	i	V7(+b2)	i6	V43																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
ABC	n07op59-1_03	480	V	V	V7/V	V43/V	ii%43	V	V43/V	ii%43	V	viio7/V	bII6	#viio7/iv	i6	#viio65	VII6	V43/VII	VII	V65/VII	iv6	#viio6/iv	iv	V6/iv	i6	V7	V43	III6	V2/III	V43/III	III	III6	V2/III	V43/III	V	V(#764)	viio2/V	i	V	V65	i	V43	V43(4)	i	i6	i	i(94)	V6	i6	V7(9)	V43(4)	III6																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
ABC	n07op59-1_04	491	i	V7	V7(4)	bII6	VI																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
ABC	n07op59-1_04	492	i	V7	bII6	VI	III43																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
